location_id,place,state
1,New York-Newark-Jersey City, NY-NJ-PA
2,Los Angeles-Long Beach-Anaheim, CA
3,Chicago-Naperville-Elgin, IL-IN-WI
4,Dallas-Fort Worth-Arlington, TX
5,Houston-The Woodlands-Sugar Land, TX
6,Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
7,Washington-Arlington-Alexandria, DC-VA-MD-WV
8,Miami-Fort Lauderdale-West Palm Beach, FL
9,Atlanta-Sandy Springs-Roswell, GA
10,Boston-Cambridge-Newton, MA-NH
11,San Francisco-Oakland-Fremont, CA
12,Riverside-San Bernardino-Ontario, CA
13,Phoenix-Mesa-Scottsdale, AZ
14,Detroit-Warren-Dearborn, MI
15,Seattle-Tacoma-Bellevue, WA
16,Minneapolis-St. Paul-Bloomington, MN-WI
17,San Diego-Carlsbad, CA
18,Tampa-St. Petersburg-Clearwater, FL
19,St. Louis, MO-IL
20,Baltimore-Columbia-Towson, MD
21,Denver-Aurora-Lakewood, CO
22,Pittsburgh, PA
23,Charlotte-Concord-Gastonia, NC-SC
24,Portland-Vancouver-Hillsboro, OR-WA
25,San Antonio-New Braunfels, TX
26,Orlando-Kissimmee-Sanford, FL
27,Sacramento-Roseville-Arden-Arcade, CA
28,Cincinnati, OH-KY-IN
29,Cleveland-Elyria, OH
30,Kansas City, MO-KS
31,Las Vegas-Henderson-Paradise, NV
32,Columbus, OH
33,Indianapolis-Carmel-Anderson, IN
34,San Jose-Sunnyvale-Santa Clara, CA
35,Austin-Round Rock, TX
36,Nashville-Davidson-Murfreesboro-Franklin, TN
37,Virginia Beach-Norfolk-Newport News, VA-NC
38,Providence-Warwick, RI-MA
39,Milwaukee-Waukesha-West Allis, WI
40,Jacksonville, FL
41,Memphis, TN-MS-AR
42,Louisville/Jefferson County, KY-IN
43,Oklahoma City, OK
44,Richmond, VA
45,New Orleans-Metairie, LA
46,Hartford-West Hartford-East Hartford, CT
47,Raleigh, NC
48,Birmingham-Hoover, AL
49,Buffalo-Cheektowaga-Niagara Falls, NY
50,Salt Lake City, UT
51,Rochester, NY
52,Grand Rapids-Wyoming, MI
53,Tucson, AZ
54,Urban Honolulu, HI
55,Tulsa, OK
56,Fresno, CA
57,Bridgeport-Stamford-Norwalk, CT
58,Worcester, MA-CT
59,Albuquerque, NM
60,Omaha-Council Bluffs, NE-IA
61,Albany-Schenectady-Troy, NY
62,New Haven-Milford, CT
63,Bakersfield, CA
64,Knoxville, TN
65,Greenville-Anderson-Mauldin, SC
66,Oxnard-Thousand Oaks-Ventura, CA
67,El Paso, TX
68,Allentown-Bethlehem-Easton, PA-NJ
69,Baton Rouge, LA
70,McAllen-Edinburg-Mission, TX
71,Dayton, OH
72,Columbia, SC
73,Greensboro-High Point, NC
74,North Port-Sarasota-Bradenton, FL
75,Little Rock-North Little Rock-Conway, AR
76,Stockton-Lodi, CA
77,Akron, OH
78,Charleston-North Charleston, SC
79,Colorado Springs, CO
80,Syracuse, NY
81,Winston-Salem, NC
82,Cape Coral-Fort Myers, FL
83,Boise City, ID
84,Wichita, KS
85,Springfield, MA
86,Madison, WI
87,Lakeland-Winter Haven, FL
88,Ogden-Clearfield, UT
89,Toledo, OH
90,Deltona-Daytona Beach-Ormond Beach, FL
91,Des Moines-West Des Moines, IA
92,Jackson, MS
93,Augusta-Richmond County, GA-SC
94,Scranton-Wilkes-Barre-Hazleton, PA
95,Youngstown-Warren-Boardman, OH-PA
96,Harrisburg-Carlisle, PA
97,Provo-Orem, UT
98,Palm Bay-Melbourne-Titusville, FL
99,Chattanooga, TN-GA
100,Spokane-Spokane Valley, WA
