Total Rating,Total Review,Total Critic
1448564,3595,187,
994636,1979,195,
668685,617,141,
1420006,4273,628,
1125043,2039,260,
734886,1182,165,
368954,798,165,
433741,741,167,
1037554,3117,328,
1131893,2822,300,
1063686,4979,294,
676383,805,188,
1031773,1275,139,
1219015,2647,627,
588327,711,140,
934528,2397,293,
623262,942,174,
1034373,3561,306,
745757,1378,244,
200719,569,145,
462388,709,206,
861930,1027,190,
634668,1154,153,
736382,855,168,
235251,664,195,
611457,2281,652,
612419,801,143,
343348,1016,150,
186450,548,162,
341863,1053,229,
671647,1384,152,
741298,2234,209,
342903,839,228,
565871,735,222,
88658,201,132,
359524,966,282,
271863,613,164,
397884,311,302,
215784,507,460,
116748,193,113,
644684,1334,183,
631852,918,176,
728190,2012,264,
415752,735,191,
736850,1994,343,
391888,947,249,
830106,2324,259,
120202,434,181,
301447,813,178,
599764,726,171,
478984,1060,371,
705546,1063,333,
523954,596,183,
112878,187,104,
222942,389,211,
127473,376,113,
513725,1272,241,
767993,1122,742,
102580,336,134,
958154,2645,790,
713243,2691,266,
592224,1018,417,
193556,489,195,
422249,1042,235,
261995,1163,223,
110294,476,142,
211375,641,187,
85847,265,186,
300532,782,295,
147355,416,88,
185045,545,167,
459585,1284,238,
537210,584,171,
189539,479,105,
449170,695,443,
558194,886,162,
632848,1032,124,
473180,1300,201,
429307,838,197,
84104,296,152,
51105,188,73,
495503,1885,224,
182447,443,115,
165354,539,169,
570725,1478,261,
410423,659,116,
78865,218,124,
151187,237,115,
128751,512,159,
233426,525,127,
333066,637,122,
519989,713,149,
360209,1665,264,
130128,211,109,
87634,257,143,
367315,612,169,
72043,295,138,
53244,103,64,
93225,232,169,
722305,1455,473,
511720,337,162,
69078,205,101,
129406,251,344,
437704,465,138,
63226,150,135,
98892,384,186,
152161,336,174,
95861,391,250,
816328,2644,460,
241440,475,125,
459524,814,141,
72021,285,30,
204294,480,138,
538250,673,398,
156744,304,40,
217543,548,190,
187176,444,210,
142386,287,103,
513194,696,221,
130279,215,334,
86739,273,124,
67590,235,91,
377978,862,156,
404009,1056,396,
511840,658,148,
128884,260,114,
135569,288,134,
35371,147,94,
95917,253,129,
56374,138,88,
67444,227,121,
54130,140,103,
44613,227,102,
404608,1119,274,
141454,342,110,
361787,514,112,
104260,210,239,
583705,1078,574,
284631,515,124,
487123,850,354,
174735,316,206,
275127,466,307,
458406,998,237,
76070,257,136,
678267,2001,523,
31147,33,6,
393286,970,520,
204167,987,130,
36080,163,70,
105195,256,91,
396283,466,282,
55132,224,111,
382437,785,183,
503275,1156,200,
187606,674,148,
407478,499,127,
360264,714,267,
243982,428,383,
88996,242,113,
99158,327,147,
612388,2049,225,
98338,155,161,
564471,830,283,
29916,131,111,
221399,885,280,
230368,593,186,
523533,1482,476,
61886,136,216,
623649,2072,346,
57517,309,32,
254948,495,115,
235141,309,104,
130478,299,121,
88947,305,154,
63540,258,148,
30999,102,11,
30504,34,4,
321739,1083,388,
337765,626,578,
59923,169,155,
164951,455,140,
234970,562,91,
257197,685,148,
50594,158,101,
336458,580,495,
152037,355,151,
137514,355,106,
35482,146,102,
91968,147,43,
54150,289,71,
410664,1086,266,
580962,1716,372,
114226,275,78,
78246,170,91,
34970,235,92,
250746,508,208,
146638,236,91,
419745,809,322,
822485,1666,685,
57332,278,101,
506345,2067,276,
641022,922,477,
68061,209,90,
82296,252,124,
476909,999,622,
80006,178,162,
403890,519,111,
36627,101,78,
152895,376,113,
198071,740,509,
350177,911,352,
263472,503,400,
31271,241,125,
70109,323,145,
503271,637,184,
371504,585,140,
446587,788,461,
52127,119,142,
417342,610,469,
476551,565,245,
132123,136,102,
64937,278,146,
305464,494,125,
159940,244,98,
87392,355,108,
88002,158,100,
562016,834,192,
48796,223,67,
118861,227,122,
56142,357,161,
693812,2089,265,
55120,238,71,
479048,820,280,
38511,85,29,
80216,169,131,
395270,708,494,
41320,115,78,
274185,430,369,
32471,72,220,
84524,207,100,
57985,231,122,
26500,89,83,
53358,142,117,
295067,563,430,
37781,120,44,
55657,122,87,
189880,632,143,
84558,158,54,
40720,163,88,
45186,228,131,
